offline_datapoint_21 1730248690 337833984,000
offline_datapoint_1 1730248688 1,001
offline_datapoint_20 1730248690 9161244672,000
offline_datapoint_7 1730248690 10366648320,000
offline_datapoint_6 1730248688 0,304
offline_datapoint_12 1730248688 11,714
offline_datapoint_24 1730248688 3,085
offline_datapoint_13 1730248688 9283,684
offline_datapoint_18 1730248690 0,000
offline_datapoint_0 1730248688 11918,622
offline_datapoint_16 1730248688 2222,478
offline_datapoint_28 1730248688 0,095
offline_datapoint_17 1730248688 27,698
offline_datapoint_10 1730248688 99,944
offline_datapoint_29 1730248688 7,342
offline_datapoint_22 1730248688 12775,325
offline_datapoint_4 1730248688 0,004
offline_datapoint_11 1730248693 1058688,000
offline_datapoint_5 1730248693 4087,000
offline_datapoint_26 1730248693 1267503104,000
offline_datapoint_14 1730248693 615137280,000
offline_datapoint_3 1730248693 12977410048,000
offline_datapoint_9 1730248693 337960960,000
offline_datapoint_25 1730248693 7634,000
offline_datapoint_19 1730248691 182,521
offline_datapoint_8 1730248691 16755,399
offline_datapoint_21 1730248693 337960960,000
offline_datapoint_1 1730248691 16,291
offline_datapoint_20 1730248693 9166237696,000
offline_datapoint_7 1730248693 10374770688,000
offline_datapoint_6 1730248691 1,126
offline_datapoint_12 1730248691 19,872
offline_datapoint_24 1730248691 9,307
offline_datapoint_13 1730248691 23535,621
offline_datapoint_18 1730248693 0,000
offline_datapoint_0 1730248691 39379,077
offline_datapoint_16 1730248691 3806,020
offline_datapoint_28 1730248691 0,202
offline_datapoint_17 1730248691 34,908
offline_datapoint_10 1730248691 99,790
offline_datapoint_29 1730248691 4,322
offline_datapoint_22 1730248691 22679,162
offline_datapoint_4 1730248691 0,008
offline_datapoint_11 1730248696 1058688,000
offline_datapoint_5 1730248696 4073,000
offline_datapoint_26 1730248696 1267146752,000
offline_datapoint_14 1730248696 615137280,000
offline_datapoint_3 1730248696 13022203904,000
offline_datapoint_9 1730248696 343293952,000
offline_datapoint_25 1730248696 7598,000
offline_datapoint_19 1730248694 0,332
offline_datapoint_8 1730248694 20959,729
offline_datapoint_21 1730248696 343293952,000
offline_datapoint_1 1730248694 0,332
offline_datapoint_20 1730248696 9200627712,000
offline_datapoint_7 1730248696 10417459200,000
offline_datapoint_6 1730248694 1,296
offline_datapoint_12 1730248694 16,422
offline_datapoint_24 1730248694 5,917
offline_datapoint_13 1730248694 20908,646
offline_datapoint_18 1730248696 0,000
offline_datapoint_0 1730248694 34936,641
offline_datapoint_16 1730248694 6800,708
offline_datapoint_28 1730248694 0,139
